"mergeid","cftype","gniscode","cfname","cfsubtype","comment","source","jurisdicti","community","address","POINT_X","POINT_Y"
"13515","School",1829896,"Grove Junior High School","Public School",,"ACGI","SCHOOL DIST #59","Elk Grove Village","777 W Elk Grove Blvd",-87.9909698725,42.007599227
"13516","School",1831015,"Margaret Mead Junior High School","Public School",,"ACGI","SCHOOL DIST #54","Elk Grove Village","1765 Biesterfield Rd",-88.0533112563,42.0096306316
"13525","School",1737765,"Adolph Link Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Elk Grove Village","900 W Glenn Trl",-88.0392623997,42.0061195604
"13531","School",2030158,"Adlai Stevenson Elementary School","Public School",,"ACGI","SCHOOL DIST # 54","Elk Grove Village","1414 Armstrong Ln",-88.0400502276,41.9985410763
"13536","School",417044,"Rupley Elementary School","Public School",,"ACGI","SCHOOL DIST #59","Elk Grove Village","305 Oakton St",-87.9852540215,42.0209865673
"13542","School",406233,"Clearmont Elementary School","Public School",,"ACGI","SCHOOL DIST #59","Elk Grove Village","280 Clearmont Dr",-87.9891889604,41.999986726
"13545","School",417901,"Salt Creek Elementary School","Public School",,"ACGI","SCHOOL DIST #59","Elk Grove Village","65 Kennedy Blvd",-87.9993256146,42.0030424726
"13564","School",416642,"Ridge Family Center for Learning","Public School",,"ACGI","SCHOOL DIST #59","Elk Grove Village","640 Ridge Ave",-87.9903630305,42.0100097995
"13575","School",1737365,"Admiral Richard E Byrd Elementary School","Public School",,"ACGI","SCHOOL DIST # 59","Elk Grove Village","265 Wellington Ave",-88.0092598133,41.9964447234
"13577","School",0,"Childrens Christian Learning Center","Non Public School",,"AG","NORTHWEST FILIPINO CH","Elk Grove Village","1900 Nerge Rd",-88.0560292755,41.999928171
"13583","School",0,"Sterling Central - Chicago Campus","Non Public School",,"A",,"Elk Grove Village","404 E Devon Ave",-87.9867534946,41.993498741
"13597","School",426646,"Gray M Sandborn Elementary School","Public School",,"ACGI","SCHOOL DIST #15","Palatine","101 N Oak St",-88.0381088808,42.112139799
"13600","School",419660,"Thomas Middle School","Public School",,"ACGI","SCHOOL DIST #25","Arlington Heights","1430 N Belmont Ave",-87.9791932664,42.1015656035
"13602","School",417834,"Saint Viator High School","Non Public School",,"ACGI","CLERICS OF ST VIATOR","Arlington Heights","1213 E Oakton St",-87.9690598548,42.0916205207
"13607","School",1829887,"Greenbrier Elementary School","Public School",,"ACGI","SCHOOL DIST #25","Arlington Heights","2330 N Verde Dr",-87.9985416463,42.1195707428
"13614","School",1831539,"Northwest Suburban Montessori School","Non Public School",,"ABCG","CATHOLIC BISHOP CHGO","Arlington Heights","800 N Fernandez Ave",-87.9926288992,42.0915982228
"13627","School",0,"Arlington Montessori School","Non Public School",,"AG","FAITH LUTHERAN CHURCH","Arlington Heights","424 S Pine Ave",-87.9798649145,42.0762376233
"13641","School",1826221,"Edgar Allen Poe Elementary School","Public School",,"ACGI","SCHOOL DIST #21","Arlington Heights","2800 N Highland Ave",-87.9860559408,42.1268662178
"13642","School",1830846,"James Whitcomb Riley School","Public School",,"ACGI","SCHOOL DIST #21","Arlington Heights","1209 E Burr Oak Dr",-87.9674599797,42.127619428
"13649","School",1830828,"Ivy Hill Elementary School","Public School",,"ACGI","SCHOOL DIST #25","Arlington Heights","2211 N Burke Dr",-87.9716953465,42.1159679166
"13658","School",1829652,"Dunton School","Public School",,"ACGI","SCHOOL DIST #25","Arlington Heights","1200 S Dunton Ave",-87.9811271992,42.0616502036
"13668","School",1737364,"Jane Addams Elementary School","Public School",,"ACGI","SCHOOL DIST #15","Palatine","1020 E Sayles Dr",-88.0177023672,42.1239472875
"13669","School",1737721,"Hunting Ridge Elementary School","Public School",,"ACGI","SCHOOL DIST #15","Palatine","1105 W Illinois Ave",-88.0697576679,42.0947946549
"13672","School",1831338,"Lincoln Elementary School","Public School",,"ACGI","SCHOOL DIST #15","Palatine","1021 N Ridgewood Ln",-88.0357585074,42.1306647145
"13679","School",0,"Palatine School District 15 Office","Public School",,"AGI","SCHOOL DIST #15","Palatine","580 N First Bank Dr",-88.0368991701,42.1206868453
"13684","School",415288,"Stuart R Paddock Elementary School","Public School",,"ACGI","SCHOOL DIST #15","Palatine","225 W Washington Ct",-88.0499331771,42.1077817028
"13687","School",0,"Quest Academy","Non Public School",,"ABGI","CREATIVE CHILDRENS ACD","Palatine","500 N Benton St",-88.0416752163,42.1199376631
"13688","School",1831261,"Lake Louise Elementary School","Public School",,"ACGI","SCHOOL DIST #15","Palatine","500 N Jonathan Dr",-88.0086672212,42.1193232853
"13692","School",1829730,"Township High School District 211 Office","Public School",,"ACGI","SCHOOL DIST #211","Palatine","1750 S Roselle Rd",-88.0790395564,42.0809670504
"13697","School",1737750,"Kirk School","Non Public School","Special Education","ACGI","NW SUB SPECIAL ED ORG","Palatine","520 S Plum Grove Rd",-88.0458879684,42.1010305359
"13699","School",1772674,"William Fremd High School","Public School",,"ACGI","SCHOOL DIST #211","Palatine","1000 S Quentin Rd",-88.0656305889,42.0940783568
"13701","School",1737744,"Marion Jordan Elementary School","Public School",,"ACGI","SCHOOL DIST #15","Palatine","110 N Harrison Ave",-88.0744016741,42.1115688924
"13712","School",415867,"Pleasant Hill Elementary School","Public School",,"ACGI","SCHOOL DIST #15","Palatine","434 W Illinois Ave",-88.0543640082,42.097218827
"13735","School",0,"Three Oaks Montessori School","Non Public School",,"A",,"Palatine","12 S Linden Ave",-88.0326464494,42.1098632912
"13754","School",0,"District 211 Academy North","Public School",,"A",,"Palatine","335 E Illinois Ave",-88.0349758038,42.0952294414
"13755","School",0,"North Cook Young Adult Academy Palatine","Public School",,"A",,"Palatine","335 E Illinois Ave",-88.0349758038,42.0952294414
"13756","School",0,"Bright Horizons at Motorola","Non Public School",,"A",,"Arlington Heights","1441 Shure Dr",-87.9975592858,42.1355863008
"13757","School",0,"New Connections Academy","Non Public School","Special Education","A",,"Palatine","909 E Wilmette Rd",-88.0227316046,42.1037312636
"13764","School",1737764,"Arnett C Lines Elementary School","Public School",,"CG","COMM UNIT S D #220","Barrington","215 Eastern Ave",-88.1195387669,42.152057334
"13765","School",1825861,"Barrington Middle School","Public School",,"CG","COMM UNIT S D #220","Barrington","215 Eastern Ave",-88.1195387669,42.152057334
"13769","School",1772651,"Thomas Jefferson Elementary School","Public School",,"ACGI","SCHOOL DIST #15","Hoffman Estates","3805 Winston Dr",-88.0980633793,42.0922654099
"13773","School",1737488,"Dwight D. Eisenhower Junior High School","Public School",,"ACGI","SCHOOL DIST #54","Hoffman Estates","800 Hassell Rd",-88.0995438079,42.0636181501
"13817","School",1826896,"Frank C Whiteley Elementary School","Public School",,"ACGI","SCHOOL DIST #15","Hoffman Estates","4335 Haman Ave",-88.1034405229,42.1024634601
"13826","School",0,"Montessori School of North Hoffman Estates","Non Public School",,"ABGI",,"Hoffman Estates","1200 Freeman Rd",-88.109705171,42.0994864034
"13840","School",0,"Camelot Ther-Hoffman Estates","Non Public School","Special Education","A",,"Hoffman Estates","5135 Trillium Blvd",-88.2079329468,42.0785137781
"13844","School",417243,"Saint Colette School","Non Public School",,"ACG","CATHOLIC BISHOP CHGO","Rolling Meadows","3920 Meadow Dr",-88.0162681028,42.0693714948
"13846","School",0,"John G Conyers Learning Academy","Public School",,"AG","CLEARBROOK CENT FDTN","Rolling Meadows","2800 Central Rd",-88.0159743886,42.0676213747
"13848","School",0,"Nature Ridge Elementary School","Public School",,"GI",,"Bartlett","1899 Westridge Blvd",-88.2461357781,41.9919421304
"13853","School",0,"School District U 46 Transportation Department","Public School",,"G","SCHOOL DIST U-46","Elgin","500 Shales Pkwy",-88.2394827748,42.0272939435
"13865","School",1829658,"Hanover Highlands Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Hanover Park","1451 Cypress Ave",-88.1398240184,41.9989872026
"13876","School",1737380,"Neil Armstrong Elementary School","Public School",,"ACGI","SCHOOL DIST # 54","Hoffman Estates","1320 Kingsdale Rd",-88.1163075393,42.0502164529
"13886","School",1737702,"Hanover Countryside Elementary School","Public School",,"CGI","SCHOOL DIST U-46","Streamwood","6 S Bartlett Rd",-88.1807583305,42.0306670062
"13896","School",411764,"Lakeview Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Hoffman Estates","615 Lakeview Ln",-88.0943900451,42.03900045
"13903","School",417315,"Saint Hubert Catholic School","Non Public School",,"ACGI","CATHOLIC BISHOP CHGO","Hoffman Estates","729 Grand Canyon St",-88.0864917808,42.0399181609
"13906","School",1772642,"Sunnydale Elementary School","Public School",,"CGI","SCHOOL DIST U-46","Streamwood","716 Sunnydale Blvd",-88.1615881318,42.0154688095
"13915","School",1737370,"Edwin M. Aldrin Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Schaumburg","617 Boxwood Dr",-88.0966375916,42.0127580862
"13928","School",1826327,"Everett Dirksen Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Schaumburg","116 W Beech Dr",-88.0826036263,42.0222689871
"13932","School",1737452,"James B Conant High School","Public School",,"ACGI","SCHOOL DIST #211","Hoffman Estates","700 E Thacker St",-88.0626683149,42.0371199635
"13943","School",0,"Hilltop School","Public School",,"GI","SCHOOL DIST U- 46","Elgin","1855 Rohrssen Rd",-88.2271451864,42.0381180723
"13950","School",1772636,"Streamwood Elementary School","Public School",,"C",,"Streamwood","410 E Streamwood Blvd",-88.1696705632,42.0266336424
"13951","School",1737513,"Glenbrook Elementary School","Public School",,"CGI","SCHOOL DIST U-46","Streamwood","315 Garden Cir",-88.1599549326,42.0374077912
"13959","School",1737706,"Heritage Elementary School","Public School",,"CGI","SCHOOL DIST U-46","Streamwood","507 Arnold Ave",-88.1717400854,42.0073802323
"13967","School",1826736,"Cooper Middle School","Public School",,"ACGI","SCHOOL DIST #21","Buffalo Grove","1050 Plum Grove Cir",-87.9836196867,42.1496672683
"13972","School",1831381,"Longfellow Elementary School","Public School",,"ACG","SCHOOL DIST #21","Buffalo Grove","501 S Arlington Heights Rd",-87.9840703232,42.1449552361
"13979","School",411469,"Kimball Hill Elementary School","Public School",,"ACGI","SCHOOL DIST #15","Rolling Meadows","2905 Meadow Dr",-88.0170334404,42.0801723732
"13980","School",1764304,"Parkwood Elementary School","Public School",,"CGI","SCHOOL DIST U-46","Hanover Park","2160 Laurel Ave",-88.1582255873,42.003542807
"13982","School",1737758,"Laurel Hill Elementary School","Public School",,"CGI","SCHOOL DIST U-46","Hanover Park","1750 Laurel Ave",-88.1487058585,42.0034072123
"13984","School",1737815,"Oakhill Elementary School","Public School",,"CGI","SCHOOL DIST U-46","Streamwood","502 S Oltendorf Rd",-88.1753468707,42.0217228327
"13992","School",1737796,"John Muir Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Hoffman Estates","1973 Kensington Ln",-88.1256645473,42.0610956559
"14000","School",426685,"Winston Churchill Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Schaumburg","1520 Jones Rd",-88.1000938229,42.0550481663
"14012","School",419988,"Twinbrook Elementary School","Public School",,"CG","SCHOOL DIST #54","Hoffman Estates","1035 Ash Rd",-88.0690930444,42.0464354531
"14021","School",408232,"Fairview Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Hoffman Estates","341 Arizona Blvd",-88.0713090078,42.0396278082
"14024","School",0,"Timber Trails Elementary School","Public School",,"GI","SCHOOL DIST U- 46","Hoffman Estates","1675 Mcdonough Rd",-88.2163443912,42.0550380397
"14026","School",1826282,"Enders-Salk Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Schaumburg","345 N Salem Dr",-88.1002329347,42.0327918171
"14029","School",2030161,"Nathan Hale Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Schaumburg","1300 W Wise Rd",-88.1115539229,42.0048905622
"14032","School",1737731,"J Edgar Hoover Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Schaumburg","315 N Springinsguth Rd",-88.1181283139,42.0319519403
"14033","School",1836601,"Schaumburg High School","Public School",,"ACGI","SCHOOL DIST #211","Schaumburg","1100 W Schaumburg Rd",-88.1071544531,42.0283079618
"14039","School",1737368,"Albert Einstein Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Hanover Park","1100 Laurie Ln",-88.1358286705,42.0148922313
"14043","School",1832879,"Robert Frost Junior High School","Public School",,"ACGI","SCHOOL DIST #54","Schaumburg","320 W Wise Rd",-88.0880585353,42.0071504108
"14046","School",417742,"Saint Peter Lutheran School","Non Public School",,"ACG","ST PETER LUTHERAN CH","Schaumburg","202 E Schaumburg Rd",-88.0732446684,42.0294726915
"14051","School",1737449,"Michael Collins Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Schaumburg","407 S Summit Dr",-88.0688823222,42.0199749641
"14089","School",405513,"Francis Campanelli Elementary School","Public School",,"ACGI","SCHOOL DIST #54","Schaumburg","304 S Springinsguth Rd",-88.1205711608,42.0197486692
"14102","School",0,"Lincoln Elementary School","Public School",,"GI","SCHOOL DIST U- 46","Hoffman Estates","1650 Maureen Dr",-88.2423533871,42.0556642302
"14104","School",1737801,"Frederick Nerge Elementary School","Public School",,"ACGI","SCHOOL DIST # 54","Roselle","660 N Woodfield Trl",-88.0682090323,41.9973108361
"14122","School",0,"Kripa Montessori School","Non Public School",,"AI",,"Hoffman Estates","1035 W Golf Rd",-88.1052609714,42.0475742012
"14126","School",1772695,"Parkland Preparatory Academy","Public School",,"CI",,"Streamwood","900 S Park Blvd",-88.1717831033,42.0156448341
"14139","School",0,"Acarath Montessori Center School","Non Public School",,"A",,"Schaumburg","22 Kristin Dr",-88.0807001707,42.0583408497
"14140","School",0,"Buffalo Grove Montessori School","Non Public School",,"A",,"Buffalo Grove","950 Ellen Dr",-87.9632221089,42.1381182556
"14212","School",0,"District 211 Academy - South","Public School",,"A",,"Streamwood","1544 Brandy Pkwy",-88.146236685,42.0182564031
"14213","School",0,"Al Huda Academy","Non Public School",,"A",,"Schaumburg Twp","435 Spring South Rd",-88.1189005579,41.9987499754
"14214","School",0,"Hadi School of Excellence","Non Public School",,"AB",,"Schaumburg","375 S Roselle Rd",-88.079170313,42.0214831085
"14237","School",411869,"Lawrence Hall Youth Services","Non Public School",,"ABCGI","LAWRENCE HALL INC","Chicago","4833 N Francisco Ave",-87.7000289369,41.9698396574
"14242","School",410596,"House of Good Shepherd School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Chicago","1114 W Grace St",-87.6573635792,41.9519084057
"14243","School",411034,"Jamieson Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","5650 N Mozart St",-87.7010080295,41.9840201124
"14249","School",419906,"Trumbull Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","5200 N Ashland Ave",-87.6703515505,41.976561982
"14258","School",1832788,"Queen of Angels School","Non Public School",,"ACGI","CATHOLIC BISHOP CHGO","Chicago","4520 N Western Ave",-87.6891364276,41.9637381994
"14259","School",420637,"Waters Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","2518 W Sunnyside Ave",-87.6918214604,41.9639722145
"14280","School",0,"Stockton Branch Preschool","Public School",,"G","CHICAGO BD EDUCATION","Chicago","4423 N Magnolia Ave",-87.66058984,41.9624987566
"14323","School",0,"Grant Creative Learning Center","Non Public School",,"BG","GRANT MEMORIAL AME CH","Chicago","4029 S Drexel Blvd",-87.6044771144,41.8209197763
"14346","School",0,"Bronzeville Scholastic High School","Public School",,"AGI","CHICAGO PUB BLDG COMM","Chicago","4934 S Wabash Ave",-87.6251495446,41.8046025278
"14347","School",407446,"DuSable High School","Public School",,"CGI","CHICAGO PUB BLDG COMM","Chicago","4934 S Wabash Ave",-87.6251495446,41.8046025278
"14348","School",0,"Shabazz Charter-DuSable School","Public School",,"GI","CHICAGO PUB BLDG COMM","Chicago","4934 S Wabash Ave",-87.6251495446,41.8046025278
"14349","School",1825873,"Beethoven Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","4730 S State St",-87.6270102258,41.8081976405
"14373","School",0,"Priests of the Sacred Heart","Non Public School",,"BG","PRIESTS SACRED HEART","Chicago","1423 E 53rd St",-87.5908492931,41.7992064815
"14375","School",0,"Just for Kids","Non Public School",,"AGI",,"Chicago","5036 S Blackstone Ave",-87.5909178491,41.8031677479
"14377","School",418453,"Shoesmith Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","1330 E 50th St",-87.5941480514,41.8051235163
"14405","School",410053,"Hendricks Elementary Community Academy","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","4316 S Princeton Ave",-87.6341293565,41.8159236204
"14417","School",1830939,"King College Preparatory High School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","4445 S Drexel Blvd",-87.6029045349,41.8141300128
"14423","School",0,"Hyde Park Day School","Non Public School",,"ABGI","UNIV OF CHICAGO","Chicago","1365 E 60th St",-87.5919014916,41.7857340148
"14424","School",1836748,"Sonia Shankman Orthogenic School","Non Public School",,"ACGI","UNIV OF CHICAGO","Chicago","1365 E 60th St",-87.5919014916,41.7857340148
"14428","School",1831068,"McCormick Theological Seminary","Non Public School",,"BCG","MC CORMICK THEO SEMIN","Chicago","5555 S Woodlawn Ave",-87.5960625588,41.7934897829
"14454","School",1826449,"Bridgeport Catholic Academy South Campus","Non Public School",,"ABCGI","CATHOLIC BISHOP CHGO","Chicago","3721 S Union Ave",-87.642966777,41.8267667699
"14462","School",407476,"Dulles Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","6311 S Calumet Ave",-87.6166641476,41.7797251107
"14481","School",1833117,"Saint Anselms Convent","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Chicago","110 E 61st St",-87.6213578448,41.784149979
"14489","School",0,"University of Chicago","Public School",,"G","UNIV OF CHICAGO","Chicago","1110 E 53rd St",-87.5992803066,41.7997411691
"14499","School",0,"McCormick Theological Seminary","Non Public School",,"G","MC CORMICK THEO SEMIN","Chicago","5539 S Kimbark Ave",-87.5944539387,41.7939845133
"14502","School",0,"McCormick Theological Seminary","Non Public School",,"G","MC CORMICK THEO SEMIN","Chicago","1400 E 57th St",-87.5912093299,41.7917285752
"14505","School",411980,"Libby Elementary School","Public School",,"BCGI","CHICAGO BD EDUCATION","Chicago","5300 S Loomis Blvd",-87.6601570824,41.7968255537
"14507","School",0,"Richards Career Academy High School","Public School",,"AGI","BOARD OF ED DST #299","Chicago","5009 S Laflin St",-87.6617811842,41.8026764455
"14508","School",417184,"Saint Augustine High School","Non Public School",,"CG","BOARD OF ED DST #299","Chicago","5009 S Laflin St",-87.6617811842,41.8026764455
"14515","School",419714,"Tilden Career Community Academy High School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","4747 S Union Ave",-87.6418604392,41.8075621426
"14517","School",409709,"Hamline Elementary School","Public School",,"BCGI","CHICAGO BD EDUCATION","Chicago","4747 S Bishop St",-87.6609451591,41.8074229788
"14535","School",0,"Cambridge School of Chicago Incorporated","Non Public School",,"AGI","CATHOLIC BISHOP CHGO","Chicago","1000 E 47th St",-87.6009920764,41.8099665286
"14562","School",1826199,"Walter H Dyett Middle School","Public School",,"ACGI","PUB BLDG COMM OF CHGO","Chicago","545 E 51St St",-87.6127198594,41.8009967542
"14657","School",0,"CS Academy","Non Public School",,"AB",,"Chicago","1443 W 63rd St",-87.6610409534,41.7792568904
"14658","School",0,"Hunter-Bolden Academy","Non Public School",,"AGI",,"Chicago","5944 S Prairie Ave",-87.6194843421,41.7861610933
"14664","School",407358,"Pershing East Elementary School","Public School","School was previously Pershing West Middle School, but according to the public school closing news release it was taken over by Pershing East Elementary School.","ACGI","CHICAGO BD EDUCATION","Chicago","3200 S Calumet Ave",-87.618818026,41.8356636222
"14677","School",1830895,"John Marshall Law School","Non Public School",,"BCG","JOHN MARSHALL LAW SCHL","Chicago","315 S Plymouth Ct",-87.6284341071,41.8777772333
"14682","School",0,"South Loop Montessori School","Non Public School",,"A",,"Chicago","806 S Plymouth Ct",-87.6291049248,41.8717405484
"14686","School",1826047,"City Colleges of Chicago","Public School",,"CG","PUB BLDG COMM OF CHGO","Chicago","226 W Jackson Blvd",-87.6348805031,41.8784208985
"14690","School",1826022,"Illinois Institute of Technology Chicago-Kent College of Law","Public School",,"CG","ILL INST OF TECHNOLOGY","Chicago","565 W Adams St",-87.6421294381,41.8789651806
"14700","School",419879,"Trinity School","Non Public School",,"CG","FIRST LUTH CH TRINITY","Chicago","643 W 31St St",-87.6429928387,41.8378246275
"14703","School",413741,"Moses Montefiore Special Elementary School","Public School",,"ACGI","CHICAGO BOARD OF ED","Chicago","1321 S Paulina St",-87.6676178527,41.8646117601
"14704","School",1836703,"Simpson Academic High School for Young Women","Public School",,"ACG","CHICAGO BOARD OF ED","Chicago","1321 S Paulina St",-87.6676178527,41.8646117601
"14707","School",1836761,"South Loop Elementary School","Public School",,"ACGI","CHICAGO BOARD OF ED","Chicago","1212 S Plymouth Ct",-87.6289694874,41.8668122264
"14710","School",411076,"STEM Magnet Academy Elementary","Public School",,"ACG","CHICAGO BD EDUCATION","Chicago","1522 W Fillmore St",-87.6649126083,41.8687206737
"14711","School",0,"Evergreen Academy Elementary School","Public School",,"AGI","CHICAGO BD EDUCATION","Chicago","3537 S Paulina St",-87.6673831665,41.8290281543
"14712","School",410377,"Holden Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","1104 W 31st St",-87.6540315153,41.83835499
"14713","School",409617,"Haines Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","247 W 23rd Pl",-87.6337223808,41.849780474
"14722","School",0,"Columbia College - Sherwood Conservatory of Music","Non Public School",,"BG","SHERWOOD CNSRVTY MUSIC","Chicago","1308 S Michigan Ave",-87.6246028025,41.8653918026
"14723","School",0,"Columbia College - Theater and Film Annex","Non Public School","Feature name was found on the campus map on the College of Columbia website.","GN","COLUMBIA COLLEGE","Chicago","1415 S Wabash Ave",-87.6252443244,41.8635941322
"14724","School",1826066,"Columbia College - Theatre Music Center","Non Public School",,"CG","COLUMBIA COLLEGE","Chicago","1014 S Michigan Ave",-87.6245996495,41.86946868
"14725","School",0,"Columbia College - 1104 Center","Non Public School","Feature name was found on the campus map on the College of Columbia website.","GN","COLUMBIA COLLEGE","Chicago","1104 S Wabash Ave",-87.6263549678,41.8690058495
"14726","School",1825902,"DePaul University - Blackstone Theatre","Non Public School",,"CG","DE PAUL UNIVERSITY","Chicago","60 E Balbo Ave",-87.6253234372,41.8733959387
"14729","School",0,"University of Illinois - Chemical Engineering Building","Public School",,"GH","UNIVERSITY OF ILLINOIS","Chicago","812 S Clinton St",-87.641257105,41.8715681556
"14740","School",0,"East-West University Incorporated","Non Public School",,"BG","EAST-WEST UNIVERSITY","Chicago","816 S Michigan Ave",-87.6247400098,41.8712629521
"14747","School",417174,"Saint Anthony of Padua School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Chicago","500 W 28th Pl",-87.640703486,41.8429355593
"14749","School",1832558,"Our Lady of Pompeii School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Chicago","1218 W Lexington St",-87.6578753188,41.8725220722
"14787","School",0,"Daystar School","Non Public School",,"AI",,"Chicago","1550 S State St",-87.6281165532,41.8604395053
"14788","School",0,"Jewish Child and Family Services","Non Public School",,"D",,"Chicago","216 W Jackson Blvd",-87.6344912011,41.87842572
"14789","School",0,"Village Leadership Academy","Non Public School",,"A",,"Chicago","800 S Wells St",-87.6343623116,41.8715005212
"14790","School",0,"Ada S McKinley Community Services","Non Public School",,"A",,"Chicago","725 S Wells St",-87.6332853372,41.8726237912
"14791","School",1832833,"Youth Connection Charter High School","Public School",,"ABCGHI","ILL INST.OF TECHNOLOGY","Chicago","10 W 35th St",-87.6273029839,41.8313221245
"14792","School",0,"The South Side School","Non Public School",,"BGI",,"Chicago","1617 S Halsted St",-87.6463891237,41.8595298259
"14793","School",0,"Chicago International Charter School","Non Public School",,"AB",,"Chicago","201 S State St",-87.6272552626,41.8792709801
"14794","School",414302,"Nativity of Our Lord Catholic School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Chicago","3721 S Union Ave",-87.642966777,41.8267667699
"14795","School",1825739,"American Academy of Art","Non Public School",,"C",,"Chicago","332 S Michigan Ave",-87.6248629484,41.877343202
"14798","School",0,"Lexington College Incorporated","Non Public School",,"B",,"Chicago","310 S Peoria St",-87.6499153012,41.8774129181
"14799","School",0,"Shimer College","Non Public School",,"B","ILL INST.OF TECHNOLOGY","Chicago","3424 S State St",-87.6273215832,41.8321479917
"14805","School",0,"Holy Family Lutheran School","Non Public School",,"AGI",,"Chicago","3415 W Arthington St",-87.7118232107,41.869632073
"14808","School",421120,"Whittier Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","1900 W 23rd St",-87.6741708811,41.8506499196
"14814","School",411932,"Ericson Elementary Scholastic Academy","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","400 S Central Park Ave",-87.7164748117,41.8760596166
"14816","School",1832931,"Ruiz Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","2410 S Leavitt St",-87.681424021,41.8478908565
"14821","School",0,"Instituto Justice and Leadership Academy Charter High School","Public School",,"AG","INST. LATINO PROGRESS","Chicago","2566 S Blue Island Ave",-87.6841277446,41.8456448702
"14828","School",411496,"King Elementary","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","2531 W Lexington St",-87.6894181637,41.8715825108
"14849","School",416024,"Pope Elementary School","Public School","Closed","ACGI","CHICAGO BD EDUCATION","Chicago","1852 S Albany Ave",-87.7032478612,41.8561076824
"14851","School",1826715,"Collins Academy High School","Public School",,"ACGI","PUBLIC BLDG COMMISSION","Chicago","1313 S Sacramento Dr",-87.7008629426,41.8642748985
"14852","School",1826715,"North Lawndale College Preparatory Charter - Collins","Public School",,"CGI","PUBLIC BLDG COMMISSION","Chicago","1313 S Sacramento Dr",-87.7008629426,41.8642748985
"14854","School",0,"Orozco Fine Arts and Sciences Elementary School","Public School",,"AGI","CHICAGO BOARD OF ED","Chicago","1940 W 18th St",-87.6751416343,41.8580947537
"14855","School",0,"World Language Academy High School","Public School",,"AGI","CHICAGO BOARD OF ED","Chicago","3120 S Kostner Ave",-87.7352900516,41.8347268821
"14856","School",0,"Greater Lawndale High School for Social Justice","Public School",,"AGI","CHICAGO BOARD OF ED","Chicago","3120 S Kostner Ave",-87.7352900516,41.8347268821
"14857","School",0,"Infinity Math Science and Technology High School","Public School",,"AGI","CHICAGO BOARD OF ED","Chicago","3120 S Kostner Ave",-87.7352900516,41.8347268821
"14858","School",0,"Multicultural Academy of Scholarship","Public School",,"AGI","CHICAGO BOARD OF ED","Chicago","3120 S Kostner Ave",-87.7352900516,41.8347268821
"14860","School",412890,"Manley Career Academy High School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","2935 W Polk St",-87.6996858531,41.8705658663
"14861","School",408106,"Everett Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","3421 S Bell Ave",-87.6810739758,41.8316549617
"14863","School",1831290,"Lathrop Elementary School","Public School",,"CGI","CHICAGO BD EDUCATION","Chicago","1440 S Christiana Ave",-87.7097898125,41.8614073186
"14864","School",0,"Ortiz De Dominguez Elementary School","Public School",,"AGI","CHICAGO BD EDUCATION","Chicago","3740 W 31St St",-87.7182721485,41.8379089852
"14865","School",408920,"Gary Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","3740 W 31St St",-87.7182721485,41.8379089852
"14866","School",413227,"McCormick Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","2712 S Sawyer Ave",-87.7065274689,41.8417620075
"14867","School",1830989,"Madero Middle School","Public School",,"ACGI","CHICAGO PUB BLDG COMM","Chicago","2738 S Kedzie Ave",-87.7054052044,41.8414237836
