"id","longitude","latitude","cftype","dist_to_trap","trap_trap_name"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",3.2,"T148"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",9.2,"T148"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",9.1,"T148"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",9.1,"T148"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",6.3,"T148"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",6.8,"T148"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",6.6,"T148"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",2.3,"T148"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",21,"T148"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",4.7,"T148"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",7,"T148"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",5.7,"T153"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",2.8,"T153"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",2.9,"T153"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",4,"T153"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",3.9,"T153"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",6,"T153"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",2.8,"T153"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",2,"T153"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",10.3,"T153"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",13.1,"T153"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",5.3,"T153"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",8.9,"T153"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",4.7,"T153"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",4.9,"T153"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",5.3,"T153"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",5.3,"T153"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",4.7,"T153"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",5.1,"T153"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",3.3,"T153"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",1.6,"T153"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",3.7,"T153"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",3.2,"T153"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",2.8,"T153"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",11,"T153"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",11.2,"T153"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",11.2,"T153"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",14,"T153"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",14.8,"T153"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",16.7,"T153"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",11.6,"T153"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",10.6,"T153"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",9.1,"T153"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",5.3,"T153"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",6.2,"T153"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",6.5,"T153"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",6.4,"T153"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",5.4,"T153"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",7.4,"T153"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",7.2,"T153"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",7.2,"T153"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",6.7,"T153"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",6,"T153"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",2.4,"T153"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",7.9,"T153"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",16,"T153"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",7,"T153"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",6,"T153"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",8,"T159"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",11.2,"T159"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",11.5,"T159"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",11.9,"T159"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",12.3,"T159"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",14.3,"T159"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",15.1,"T159"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",15.2,"T159"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",3.6,"T159"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",5.1,"T159"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",9.6,"T159"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",8.3,"T159"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",10.1,"T159"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",9.8,"T159"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",9.6,"T159"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",9.6,"T159"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",9.4,"T159"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",8.8,"T159"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",10.6,"T159"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",12.2,"T159"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",12.3,"T159"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",12.3,"T159"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",11.2,"T159"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",3.3,"T159"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",3.3,"T159"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",2.6,"T159"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",4,"T159"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",4.4,"T159"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",3.1,"T159"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",4.8,"T159"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",5.4,"T159"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",6.8,"T159"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",9.6,"T159"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",8.7,"T159"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",15.5,"T159"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",16.7,"T159"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",16.9,"T159"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",11.4,"T159"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",11.4,"T159"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",11.4,"T159"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",14.1,"T159"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",13.3,"T159"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",15.9,"T159"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",18.1,"T159"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",4.2,"T159"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",15.7,"T159"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",19.6,"T159"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",13,"T009"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",9.5,"T009"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",10,"T009"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",10.6,"T009"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",10.4,"T009"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",11,"T009"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",7.2,"T009"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",5.5,"T009"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",17.2,"T009"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",20.4,"T009"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",12.4,"T009"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",15.9,"T009"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",11.9,"T009"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",12.1,"T009"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",12.4,"T009"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",12.4,"T009"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",12,"T009"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",12.3,"T009"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",10.6,"T009"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",8.5,"T009"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",10.3,"T009"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",9.9,"T009"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",9.5,"T009"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",18.2,"T009"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",18.5,"T009"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",18.4,"T009"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",21.3,"T009"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",22.1,"T009"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",23.7,"T009"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",18.9,"T009"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",17.8,"T009"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",16.3,"T009"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",12.4,"T009"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",13.4,"T009"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",10.7,"T009"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",9.6,"T009"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",8,"T009"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",13.8,"T009"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",13.6,"T009"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",13.6,"T009"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",11.9,"T009"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",11.6,"T009"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",5.4,"T009"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",10.2,"T009"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",23.3,"T009"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",11.1,"T009"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",1.9,"T009"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",10.1,"T011"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",6.4,"T011"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",7.4,"T011"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",8.2,"T011"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",8,"T011"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",9.3,"T011"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",5.4,"T011"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",2.5,"T011"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",14.1,"T011"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",17.6,"T011"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",9.8,"T011"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",13.3,"T011"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",9.2,"T011"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",9.4,"T011"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",9.8,"T011"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",9.8,"T011"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",9.2,"T011"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",9.5,"T011"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",7.8,"T011"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",5.5,"T011"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",7.9,"T011"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",7.5,"T011"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",6.4,"T011"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",15.2,"T011"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",15.5,"T011"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",15.4,"T011"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",18.4,"T011"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",19.2,"T011"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",20.6,"T011"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",16.1,"T011"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",15,"T011"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",13.5,"T011"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",9.8,"T011"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",10.7,"T011"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",9.3,"T011"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",8.6,"T011"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",7,"T011"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",11.6,"T011"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",11.4,"T011"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",11.4,"T011"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",10.2,"T011"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",9.7,"T011"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",3.3,"T011"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",9.6,"T011"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",20.3,"T011"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",9.8,"T011"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",2.9,"T011"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",13.3,"T016"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",10.3,"T016"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",9.9,"T016"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",10.1,"T016"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",9.8,"T016"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",9.7,"T016"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",6.5,"T016"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",6.4,"T016"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",17.9,"T016"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",20.2,"T016"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",12.2,"T016"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",15.4,"T016"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",11.6,"T016"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",11.9,"T016"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",12.2,"T016"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",12.2,"T016"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",12,"T016"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",12.5,"T016"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",10.7,"T016"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",9.2,"T016"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",9.7,"T016"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",9.5,"T016"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",10.3,"T016"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",18.4,"T016"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",18.6,"T016"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",18.8,"T016"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",21.3,"T016"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",22.1,"T016"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",24.3,"T016"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",18.8,"T016"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",17.7,"T016"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",16.1,"T016"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",12.2,"T016"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",13.2,"T016"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",9.1,"T016"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",7.8,"T016"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",6.3,"T016"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",12.9,"T016"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",12.7,"T016"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",12.7,"T016"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",10.5,"T016"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",10.5,"T016"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",5.3,"T016"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",8.1,"T016"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",23.3,"T016"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",9.5,"T016"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",1.9,"T016"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",7.7,"T019"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",6.7,"T019"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",4.2,"T019"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",3.6,"T019"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",3.2,"T019"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",2.6,"T019"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",1.7,"T019"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",5.4,"T019"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",12.7,"T019"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",13.5,"T019"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",5.8,"T019"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",8.5,"T019"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",5.3,"T019"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",5.6,"T019"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",5.8,"T019"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",5.8,"T019"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",6.1,"T019"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",6.8,"T019"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",5.2,"T019"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",5.6,"T019"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",3.2,"T019"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",3.2,"T019"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",6.7,"T019"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",12.3,"T019"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",12.4,"T019"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",12.9,"T019"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",14.8,"T019"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",15.5,"T019"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",18.4,"T019"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",12.2,"T019"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",11.1,"T019"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",9.4,"T019"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",5.8,"T019"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",6.8,"T019"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",2.4,"T019"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",2,"T019"
"Swedish Covenant Hospital",-87.7009718,41.9730682,"Hospital",1.5,"T019"
"Northwestern University Rehabilitation Institute of Chicago",-87.6177287,41.8950136,"Hospital",5.7,"T019"
"Northwestern Memorial Hospital",-87.622289,41.8950618,"Hospital",5.5,"T019"
"Ann & Robert H. Lurie Children's Memorial Hospital",-87.622289,41.8950618,"Hospital",5.5,"T019"
"Saint Joseph Hospital",-87.6351518,41.9350807,"Hospital",3.4,"T019"
"Childrens Memorial Hospital",-87.6458783,41.9239808,"Hospital",3.3,"T019"
"Our Lady of Resurrection Medical Center",-87.7691105,41.9435674,"Hospital",3.7,"T019"
"Kindred-Lakeshore Hospital",-87.6565558,41.9934691,"Hospital",3.6,"T019"
"Trinity Hospital",-87.5688044,41.7280249,"Hospital",16.8,"T019"
"Louis A Weiss Memorial Hospital",-87.6424095,41.9584475,"Hospital",2.9,"T019"
"Resurrection Medical Center",-87.8166981,41.9861043,"Hospital",6.6,"T019"
"Cermak Hospital",-87.6975661,41.8409834,"Hospital",9.9,"T025"
"Hartgrove Hospital",-87.7636869,41.8688096,"Hospital",7.7,"T025"
"Sacred Heart Hospital",-87.7088864,41.8918399,"Hospital",6.4,"T025"
"Saint Mary Of Nazareth Hospital",-87.6845374,41.9012409,"Hospital",6.4,"T025"
"Saint Elizabeth's Hospital",-87.6859039,41.9066862,"Hospital",6,"T025"
"Advocate Illinois Masonic Medical Center",-87.6516277,41.9381322,"Hospital",5.9,"T025"
"Kindred Chicago Central Hospital",-87.7286484,41.9416948,"Hospital",2.8,"T025"
"Shriners Hospitals for Children",-87.795729,41.9216623,"Hospital",4.6,"T025"
"Holy Cross Hospital",-87.699063,41.7678191,"Hospital",14.9,"T025"
"La Rabida Children's Hospital",-87.5747155,41.7799698,"Hospital",16.5,"T025"
"University of Illinois at Chicago Hospital",-87.6728749,41.8698326,"Hospital",8.6,"T025"
"Mercy Hospital and Medical Center",-87.6101983,41.8475444,"Hospital",11.7,"T025"
"Core Center Ruth M. Rothstein",-87.680505,41.8759315,"Hospital",8,"T025"
"Jesse Brown Veterans Medical Center",-87.6794415,41.8715694,"Hospital",8.3,"T025"
"University of Illinois at Chicago College of Medicine - School of Public Health West",-87.6728749,41.8698326,"Hospital",8.6,"T025"
"John H Stroger Junior Hospital Cook County",-87.6728749,41.8698326,"Hospital",8.6,"T025"
"Mount Sinai Hospital",-87.6925503,41.8637638,"Hospital",8.5,"T025"
"Saint Anthony Hospital",-87.6973284,41.8537051,"Hospital",9.1,"T025"
"Advocate Bethany Hospital",-87.7133314,41.8772429,"Hospital",7.3,"T025"
"PCC Austin Family Health Center",-87.7626533,41.8857783,"Hospital",6.5,"T025"
"Westown Neighborhood Health Center",-87.6883533,41.9066547,"Hospital",6,"T025"
"Norwegian American Hospital Incorporated",-87.6986233,41.9048448,"Hospital",5.8,"T025"
"Loretto Hospital",-87.7636869,41.8688096,"Hospital",7.7,"T025"
"Englewood Health Center",-87.6413586,41.7785368,"Hospital",15,"T025"
"Saint Bernard Hospital",-87.6338527,41.7781818,"Hospital",15.2,"T025"
"Englewood Health Center",-87.6529983,41.7687121,"Hospital",15.4,"T025"
"Jackson Park Hospital and Medical Center",-87.580746,41.7570821,"Hospital",17.7,"T025"
"South Shore Hospital",-87.5686395,41.74988,"Hospital",18.4,"T025"
"Roseland Community Hospital",-87.6254541,41.6907398,"Hospital",21,"T025"
"University of Chicago Medical Center",-87.6012849,41.7904693,"Hospital",15.2,"T025"
"Provident Hospital of Cook County",-87.6126398,41.8039289,"Hospital",14.1,"T025"
"Near South Health Center",-87.6240909,41.8274019,"Hospital",12.4,"T025"
"Rush University Medical Center",-87.6728749,41.8698326,"Hospital",8.6,"T025"
"Pilsen Community Health Center",-87.6649061,41.8559903,"Hospital",9.6,"T025"
"Thorek Hospital and Medical Center",-87.6519927,41.9557446,"Hospital",5.4,"T025"
"Bethany Hospital",-87.6698118,41.972293,"Hospital",4.2,"T025"
